Fecha_creación,Id,Texto,Fuente,Truncado,Respuesta_al_tweet,Respuesta_al_usuario_id,Respuesta_al_usuario_nombre,Localización,Coordenadas,Ciudad,Contribuciones,Idioma,Retweeted,Andalucía,Aragón,Principado de Asturias,Islas Baleares,Canarias,Cantabria,Castilla y León,Castilla  La Mancha,Cataluña,Galicia,C.Valenciana,Extremadura,Comunidad de Madrid,Región de Murcia,Comunidad Foral de Navarra,País Vasco,La Rioja,Ceuta,Melilla,World_cases,USA_cases,Spain_cases,Italy_cases,France_cases,Germany_cases,UK_cases,China_cases,Iran_cases,Turkey_cases,Brasil_cases,Russia_cases,Japan_cases,Moroco_cases,World_dead,USA_dead,Spain_dead,Italy_dead,France_dead,Germany_dead,UK_dead,China_dead,Iran_dead,Turkey_dead,Brasil_dead,Russia_dead,Japan_dead,Moroco_dead
2020-04-13 14:01:26,1249699217658073088,"RT @Politico_pe: #MariellaBalbi: ""El régimen no nos salvará paternalistamente del coronavirus: debe informarnos con la verdad, auxiliarnos…",Twitter for iPhone,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,041","560,433","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,017","22,115","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:01:26,1249699217754505217,"Martínez-Almeida (alcalde de Madrid) intervino en ‘El Objetivo’ y las redes elogiaron su postura ante la gestión del coronavirus: ""La oposición en el Ayuntamiento es intachable y las criticas que me hacen las acepto, porque quieren cooperar para mejorar"". https://t.co/0WbL96RxuL https://t.co/wxVaN98yA0",Twitter Web App,TRUE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,047","560,439","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,018","22,116","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:01:26,1249699218102595584,"RT @A3AmarSiempre: Hoy ha fallecido Josep Maria Benet i Jornet, creador de #AmarEsParaSiempre, por coronavirus.

Descansa en paz, Josep, y…",Twitter for Android,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,047","560,439","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,018","22,116","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:01:26,1249699218245275648,"RT @arrega_jorge: Cuando AMLO mencionó en su conferencia del 6 de Abril: “el coronavirus vino como anillo al dedo”, muchos pensamos que era…",Twitter for Android,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,047","560,439","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,018","22,116","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:09:34,1249701262729322497,Cronista | Boris Johnson dio negativo al coronavirus al salir de terapia intensiva https://t.co/IZeiiTdzPW https://t.co/fcAvKaZxjx,dlvr.it,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,047","560,439","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,019","22,116","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:09:34,1249701263467520001,"RT @eltabanord: Pienso que Huchi debe felicitar al MSP, porque según él RD iba el 23/03 más rápido que Italia y España, por lo tanto al día…",Twitter for Android,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,520","560,912","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,027","22,124","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:09:34,1249701263807139840,RT @lasillarota: En 10 días el número de pacientes intubados por contagios o sospecha de contagio de #covid19 pasó de 128 a 265 en la #CDMX…,Twitter Web App,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,549","560,933","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,03","22,127","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:09:34,1249701263857647622,"El Servicio Público de Empleo tramita más de 80.000 ERTEs diarios - El Derecho - Coronavirus, Social https://t.co/YthcoGJ3Jc",Twitter Web Client,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,549","560,933","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,03","22,127","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:09:34,1249701264625197058,"RT @General_Polvora: Que no le digan, que no le cuenten!! 
Entérese sólo de la verdad acerca del #coronavirus, dejando atrás los rumores, d…",Twitter for Android,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,549","560,933","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,03","22,127","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:09:34,1249701264759443458,"RT @SergioM170599: Más haya de si se juega con público o no, creo que lo del coronavirus ayudará a mejorar mucho nuestro desastroso fútbol…",Twitter for Android,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,667","561,051","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,032","22,129","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
